322.00	52.0	0	0	0	0	0
1000.	7.958	-11.041	6.38	3.8852	-0.0384	-28.
950.	9.470	-13.598	2.77	3.5502	0.0722	391.
925.	9.461	-13.730	0.64	3.5126	0.1208	606.
900.	9.465	-13.509	-1.39	3.2799	0.1544	825.
850.	9.648	-12.789	-4.99	2.4722	0.1552	1278.
800.	10.813	-13.877	-4.92	1.1867	0.1862	1754.
700.	13.396	-12.005	-11.47	1.3890	0.1124	2793.
600.	13.929	-7.899	-18.64	0.7765	0.1689	3957.
500.	13.832	-2.976	-26.79	0.3722	0.1840	5294.
400.	7.136	5.963	-37.11	0.0879	0.1028	6867.
300.	-7.169	20.298	-47.76	0.1112	-0.0587	8820.
250.	4.711	13.076	-49.33	0.0136	-0.0149	10013.
200.	11.436	4.146	-45.64	0.0053	0.0575	11492.
150.	11.372	3.414	-48.80	0.0031	-0.0016	13398.
323.00	52.0	0	0	0	0	0
1000.	8.785	-12.462	6.88	3.9529	-0.0253	-46.
950.	11.265	-16.387	3.34	3.5347	0.0498	373.
925.	11.495	-16.990	1.30	3.5037	0.1150	589.
900.	11.303	-17.081	-0.74	3.4017	0.1798	809.
850.	9.911	-16.092	-4.58	2.3716	0.2559	1262.
800.	10.603	-17.859	-4.32	0.5244	0.2097	1740.
700.	12.430	-14.664	-10.76	1.0360	0.1467	2780.
600.	12.982	-11.423	-18.05	0.5643	0.0395	3947.
500.	13.093	-6.345	-25.77	0.3134	-0.0179	5291.
400.	1.314	7.864	-33.60	0.2943	-0.1946	6877.
300.	-5.296	13.859	-47.56	0.1067	-0.1839	8840.
250.	1.930	12.503	-51.36	0.0202	-0.0069	10027.
200.	10.515	5.666	-46.25	0.0048	0.0263	11500.
150.	11.131	5.494	-48.76	0.0032	0.0131	13403.
324.00	52.0	0	0	0	0	0
1000.	8.834	-15.456	7.33	4.2319	-0.0168	-69.
950.	11.347	-20.955	3.83	3.6380	-0.0417	351.
925.	11.452	-21.443	1.70	3.5624	-0.0700	568.
900.	11.718	-21.407	-0.42	3.4792	-0.0966	788.
850.	11.264	-19.283	-4.34	2.9099	-0.0917	1242.
800.	10.222	-20.533	-4.18	0.5110	-0.0561	1719.
700.	12.219	-19.882	-10.11	0.4245	-0.1495	2763.
600.	13.474	-15.330	-16.74	0.4883	0.1222	3933.
500.	12.142	-8.099	-24.55	0.3574	0.0945	5285.
400.	-3.813	3.643	-32.03	0.4769	-0.3180	6886.
300.	-2.878	6.337	-47.72	0.1041	-0.1119	8851.
250.	2.721	7.978	-52.08	0.0339	-0.0031	10039.
200.	8.902	6.918	-46.63	0.0046	0.0454	11509.
150.	9.975	6.963	-48.63	0.0033	0.0396	13409.
325.00	52.0	0	0	0	0	0
1000.	10.394	-14.805	7.21	4.7442	-0.0162	-94.
950.	14.194	-21.191	3.73	4.1982	0.1651	325.
925.	14.499	-23.092	1.53	4.0499	0.3237	541.
900.	13.661	-25.888	-0.63	3.6790	0.4493	761.
850.	11.140	-25.275	-3.56	2.1048	0.4372	1216.
800.	8.877	-24.072	-4.44	1.3202	0.2754	1694.
700.	13.199	-25.368	-9.68	0.6499	0.0815	2737.
600.	12.220	-18.574	-14.99	0.9700	-0.2948	3914.
500.	9.911	-11.894	-22.49	0.9944	-0.2950	5273.
400.	-1.507	0.627	-31.17	0.5202	-0.4165	6888.
300.	-4.589	-0.106	-48.06	0.1033	0.0474	8855.
250.	4.338	4.033	-50.74	0.0467	0.0718	10044.
200.	8.245	6.858	-46.61	0.0045	0.0549	11518.
150.	8.018	8.839	-49.12	0.0033	-0.0151	13419.
326.00	52.0	0	0	0	0	0
1000.	11.036	-17.933	7.79	5.0241	-0.0467	-133.
